                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3647,                 1.8365,                 1.4061,                0.46548,                0.48851,                0.44592,                0.24873,                 1.5037,                 3.8496,                 1.6497,               0.067702,             0.00032624,             0.00032624
                      1,                 1.4089,                 1.4977,                 1.4483,                0.14015,                0.42772,                0.13301,                0.06655,                 1.8144,                 20.182,                 2.3637,               0.034696,             0.00065304,             0.00065304
                      2,                 1.4775,                 1.6371,                 1.5203,                0.41578,                0.21542,                0.08487,                0.03335,                 2.3383,                 9.0152,                 3.5985,              0.0016825,             0.00097325,             0.00097325
                      3,                 1.5065,                 1.7087,                 1.5492,                0.38589,                0.30447,                0.25578,                0.13177,                 1.8882,                 6.0214,                 2.2982,              0.0009703,              0.0009703,              0.0009703
                      4,                 1.4792,                 1.6225,                 1.5325,                0.49115,                0.38116,                 0.3602,                0.20515,                 1.6459,                 3.2066,                 1.8502,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.4346,                 1.5489,                 1.5129,                0.48627,                0.52155,                0.48003,                0.26098,                 1.5547,                 2.2955,                 1.7735,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.4036,                 1.4641,                 1.4922,                0.61191,                0.54137,                0.56226,                0.33134,                 1.4987,                 1.7726,                 1.6793,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.3862,                 1.4118,                 1.4755,                0.67404,                0.51582,                0.59859,                0.33859,                 1.4991,                 1.6791,                 1.6231,              0.0009406,              0.0009406,              0.0009406
                      8,                  1.357,                 1.3779,                 1.4665,                0.66689,                0.65766,                0.65775,                0.38472,                 1.4047,                 1.4977,                 1.5405,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.3446,                 1.3462,                 1.4452,                0.61535,                0.67675,                 0.6578,                0.42049,                  1.315,                 1.4601,                 1.4869,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.3316,                 1.3095,                 1.4344,                0.70171,                0.69702,                0.70866,                0.42707,                 1.4111,                  1.374,                 1.5298,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.3022,                 1.2786,                 1.4202,                0.64894,                0.65044,                0.65433,                0.36952,                 1.4389,                 1.4431,                 1.5707,               0.000901,               0.000901,               0.000901
                     12,                  1.289,                 1.2401,                 1.4184,                0.60462,                0.61538,                0.61073,                0.38844,                 1.3821,                 1.5876,                 1.5633,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.2569,                 1.1767,                 1.3952,                0.71336,                0.68008,                0.71209,                 0.4466,                 1.3747,                 1.2708,                 1.5146,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.2605,                 1.1786,                 1.3898,                 0.7307,                0.63811,                0.69071,                0.44187,                 1.2913,                 1.4504,                 1.4841,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.2534,                 1.1825,                 1.3884,                0.65466,                 0.6666,                0.64662,                0.41596,                 1.2846,                 1.3571,                 1.4536,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.2591,                  1.162,                 1.3933,                 0.6973,                0.68444,                0.73764,                0.46296,                 1.3062,                 1.2753,                 1.4476,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.2271,                 1.1501,                 1.3727,                0.68874,                0.66465,                0.70789,                0.46039,                 1.3214,                 1.3463,                 1.4925,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.2235,                 1.1296,                 1.3737,                 0.7585,                0.72493,                0.75592,                0.50089,                 1.2884,                 1.1576,                 1.4405,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.2076,                 1.1118,                 1.3707,                0.72803,                0.64904,                0.71733,                0.47919,                 1.2674,                 1.3214,                 1.4681,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.2057,                 1.0878,                 1.3721,                0.73904,                0.68492,                 0.7293,                0.46901,                 1.2775,                 1.2399,                 1.4593,              0.0008119,              0.0008119,              0.0008119
                     21,                  1.192,                 1.0834,                 1.3596,                0.77833,                0.66304,                0.74104,                 0.4701,                 1.2718,                 1.2315,                 1.4611,               0.000802,               0.000802,               0.000802
                     22,                 1.2032,                 1.0901,                 1.3727,                0.74012,                0.68457,                0.73191,                 0.4954,                 1.2372,                 1.1533,                 1.4317,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.1828,                   1.05,                 1.3516,                 0.7876,                0.70351,                 0.7566,                0.47921,                 1.3525,                 1.2112,                 1.5026,              0.0007822,              0.0007822,              0.0007822
                     24,                  1.168,                 1.0365,                 1.3368,                0.77467,                0.71938,                0.78024,                0.50799,                 1.2398,                 1.1421,                 1.4454,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.1527,                 1.0134,                 1.3277,                0.71983,                0.71129,                0.71466,                0.47039,                 1.2889,                  1.215,                 1.4813,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.1426,                0.99071,                 1.3216,                0.75156,                0.65892,                0.71658,                0.47971,                 1.2522,                 1.1423,                 1.4567,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.1361,                0.99277,                 1.3224,                0.72241,                0.70369,                0.74255,                0.49377,                 1.2251,                 1.1767,                 1.4577,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.1147,                0.95284,                 1.3042,                0.69446,                0.71634,                0.74015,                0.48681,                 1.2377,                 1.1616,                 1.4422,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.1321,                0.97359,                 1.3069,                0.74555,                0.68989,                0.73351,                0.47885,                 1.2647,                 1.1809,                 1.4917,              0.0007228,              0.0007228,              0.0007228
                     30,                 1.1106,                0.96834,                 1.3014,                0.74837,                0.71057,                0.75464,                0.50853,                  1.253,                 1.1366,                 1.4928,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.1028,                0.95956,                 1.3068,                0.77752,                0.75643,                0.78435,                0.53527,                 1.2009,                 1.0805,                 1.4304,               0.000703,               0.000703,               0.000703
                     32,                 1.1008,                0.93991,                  1.304,                 0.7903,                0.69125,                0.76604,                0.51433,                 1.2407,                 1.0895,                  1.424,              0.0006931,              0.0006931,              0.0006931
                     33,                 1.1076,                0.94696,                 1.2982,                 0.7599,                0.70763,                0.75755,                0.50578,                 1.2412,                 1.1169,                 1.4198,              0.0006832,              0.0006832,              0.0006832
                     34,                  1.079,                0.92192,                 1.2966,                0.79032,                 0.7529,                0.78977,                0.55343,                 1.2126,                 1.0643,                 1.4465,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.1047,                0.92981,                 1.2942,                0.79497,                0.65885,                0.75311,                0.50811,                 1.2594,                 1.1648,                 1.4796,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.0856,                0.92829,                 1.2928,                0.79056,                0.72263,                0.77206,                0.52207,                 1.2071,                 1.0377,                  1.461,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.0638,                0.88961,                 1.2709,                0.78662,                0.70562,                0.75064,                0.46449,                 1.3677,                 1.0992,                 1.4911,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.0516,                0.87683,                 1.2654,                0.76713,                0.72521,                0.77295,                0.52102,                 1.2227,                 1.0433,                 1.4631,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.0686,                0.91262,                 1.2856,                0.80376,                0.73903,                 0.7902,                 0.5489,                 1.2201,                 1.0714,                 1.4495,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.0356,                0.87735,                 1.2577,                 0.7609,                0.73304,                0.78539,                0.52054,                 1.2754,                  1.073,                 1.4743,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.0568,                0.90235,                 1.2734,                0.80644,                0.75452,                0.80029,                0.55061,                 1.1832,                 1.0118,                 1.4076,               0.000604,               0.000604,               0.000604
                     42,                 1.0418,                 0.8635,                 1.2609,                0.78118,                0.77914,                 0.7906,                0.54119,                 1.2024,                 1.0036,                 1.4381,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.0205,                0.85447,                 1.2495,                 0.8018,                0.75915,                0.80169,                0.55271,                 1.2243,                0.99284,                 1.4573,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.0288,                0.85186,                 1.2586,                0.83411,                0.71956,                0.80267,                0.53986,                 1.2405,                 1.0053,                 1.4317,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.0236,                0.82959,                 1.2478,                0.77091,                0.71036,                 0.7658,                0.53574,                 1.2548,                 1.0959,                 1.4795,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.0169,                0.82619,                 1.2502,                0.80416,                0.67003,                0.76782,                0.53178,                 1.2082,                 1.0781,                 1.4278,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.0073,                0.80946,                 1.2354,                0.75302,                0.77776,                 0.8001,                0.55561,                 1.1886,                0.97329,                 1.4224,              0.0005446,              0.0005446,              0.0005446
                     48,                0.99974,                0.79808,                 1.2341,                0.81372,                0.74355,                 0.7915,                0.52868,                 1.2267,                 1.0228,                 1.4277,              0.0005347,              0.0005347,              0.0005347
                     49,                0.99724,                0.81142,                 1.2367,                0.81376,                0.71004,                0.78815,                0.55626,                 1.1491,                 1.0082,                 1.3976,              0.0005248,              0.0005248,              0.0005248
