                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7789,                 4.1072,                 2.9495,                0.00182,                0.06951,                0.00179,                0.00047,                 3.3841,                 9.4111,                 6.1075,               0.067351,             0.00032979,             0.00032979
                      1,                 2.5397,                 3.6377,                 2.5456,                  2e-05,                0.02222,                  3e-05,                      0,                 3.1558,                    inf,                 3.5147,               0.034344,             0.00065656,             0.00065656
                      2,                  2.367,                  3.503,                 2.4695,                0.24096,                0.00607,                0.01313,                 0.0056,                 3.3086,                  99.73,                 4.3714,              0.0013313,             0.00097672,             0.00097672
                      3,                 2.2893,                 3.4325,                 2.4406,                0.00319,                0.01444,                 0.0005,                 0.0001,                  3.966,                 65.683,                 4.6195,              0.0009703,              0.0009703,              0.0009703
                      4,                 2.2785,                 3.3536,                 2.3962,                0.00087,                0.05498,                0.00054,                0.00011,                 4.0116,                 28.065,                 4.8331,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.2381,                 3.3104,                 2.3475,                0.84113,                0.00889,                0.00361,                0.00077,                 3.5288,                 4.9115,                 3.4886,              0.0009604,              0.0009604,              0.0009604
                      6,                 2.2044,                 3.2322,                 2.3154,                0.86777,                0.02333,                0.01912,                0.00585,                 2.7585,                 5.9291,                 3.1771,              0.0009505,              0.0009505,              0.0009505
                      7,                 2.1866,                 3.2127,                 2.2997,                0.50222,                0.26671,                0.00483,                0.00113,                 3.4877,                 5.0092,                 3.6733,              0.0009406,              0.0009406,              0.0009406
                      8,                  2.147,                 3.1475,                 2.2486,                0.14213,                0.01163,                0.01741,                0.00428,                 3.0867,                    inf,                 2.8998,              0.0009307,              0.0009307,              0.0009307
                      9,                 2.1264,                 3.1301,                 2.2388,                0.87804,                0.01667,                0.01481,                0.00602,                 2.9719,                 4.7604,                 3.1058,              0.0009208,              0.0009208,              0.0009208
                     10,                 2.1165,                 3.0704,                 2.2132,                0.86208,                0.01853,                0.01133,                 0.0029,                 3.6094,                 5.1443,                 4.4065,              0.0009109,              0.0009109,              0.0009109
                     11,                 2.1053,                 3.0481,                 2.2212,                0.00291,                0.37638,                0.01163,                 0.0033,                  3.444,                 4.3527,                 3.5497,               0.000901,               0.000901,               0.000901
                     12,                 2.0748,                 3.0157,                 2.2158,                0.86332,                0.02889,                 0.0181,                0.00447,                 3.0001,                 4.0889,                 3.2023,              0.0008911,              0.0008911,              0.0008911
                     13,                 2.0503,                 3.0009,                 2.1959,                0.00315,                0.09092,                0.00172,                0.00071,                 2.9354,                  9.559,                 2.9209,              0.0008812,              0.0008812,              0.0008812
                     14,                 2.0407,                 2.9312,                 2.1814,                0.35863,                0.01667,                0.01223,                0.00344,                 3.1167,                 17.021,                 3.2414,              0.0008713,              0.0008713,              0.0008713
                     15,                 2.0562,                 2.9058,                 2.1669,                0.67043,                0.12427,                0.00469,                0.00103,                 3.3744,                 20.078,                 4.3199,              0.0008614,              0.0008614,              0.0008614
                     16,                 2.0214,                 2.9104,                 2.1539,                0.00379,                  0.254,                0.00325,                0.00082,                 3.3373,                  4.322,                 2.8867,              0.0008515,              0.0008515,              0.0008515
