                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3163,                 1.8748,                 1.3702,                0.64975,                 0.5647,                0.60184,                0.37183,                 1.3473,                 1.7375,                 1.3935,               0.067409,             3.2624e-05,             3.2624e-05
                      1,                 1.2011,                 1.0646,                  1.259,                0.73192,                0.71763,                0.75328,                0.49529,                 1.1677,                 1.0336,                 1.2273,               0.034108,             6.5304e-05,             6.5304e-05
                      2,                 1.1549,                0.97309,                 1.2517,                0.80893,                0.81478,                0.84265,                0.60575,                  1.086,                0.85797,                 1.2037,             0.00080654,             9.7325e-05,             9.7325e-05
                      3,                 1.1276,                0.92148,                 1.2438,                 0.7995,                0.79286,                0.81798,                0.56107,                  1.123,                0.86454,                 1.2264,              9.703e-05,              9.703e-05,              9.703e-05
                      4,                    1.1,                0.87914,                 1.2218,                0.82329,                0.80659,                0.83044,                0.58984,                 1.0834,                0.87389,                 1.2012,              9.703e-05,              9.703e-05,              9.703e-05
                      5,                   1.08,                0.85415,                 1.2175,                0.86415,                0.76581,                0.83017,                0.58366,                 1.1285,                0.86446,                 1.2646,              9.604e-05,              9.604e-05,              9.604e-05
                      6,                 1.0538,                  0.818,                 1.2032,                0.83979,                0.81973,                0.86075,                0.60309,                 1.1086,                0.84464,                 1.2427,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 1.0422,                0.80078,                  1.203,                0.84394,                0.81721,                0.84624,                0.59818,                 1.0896,                0.79592,                 1.2489,              9.406e-05,              9.406e-05,              9.406e-05
                      8,                 1.0283,                0.77649,                 1.1918,                0.83447,                0.81622,                0.84486,                0.58377,                 1.1408,                0.78834,                 1.2652,              9.307e-05,              9.307e-05,              9.307e-05
                      9,                 1.0177,                0.76791,                 1.1837,                0.84097,                0.80154,                 0.8322,                0.60475,                 1.0631,                 0.8058,                  1.238,              9.208e-05,              9.208e-05,              9.208e-05
                     10,                 1.0069,                  0.748,                 1.1708,                0.82661,                0.80544,                0.84848,                0.61412,                 1.1048,                0.84413,                 1.2351,              9.109e-05,              9.109e-05,              9.109e-05
                     11,                0.96856,                0.72582,                  1.147,                0.84917,                0.82105,                0.84337,                0.59349,                 1.1176,                0.79373,                 1.2533,               9.01e-05,               9.01e-05,               9.01e-05
                     12,                 0.9705,                 0.7209,                 1.1615,                0.83651,                0.77036,                0.81458,                0.58465,                 1.0948,                  0.881,                 1.2821,              8.911e-05,              8.911e-05,              8.911e-05
                     13,                 0.9455,                0.68404,                 1.1369,                0.84135,                0.82257,                0.85617,                0.62431,                 1.0646,                0.82605,                 1.2209,              8.812e-05,              8.812e-05,              8.812e-05
                     14,                 0.9452,                0.67964,                  1.134,                0.84383,                0.79151,                0.83956,                0.61182,                 1.0762,                0.83331,                 1.2393,              8.713e-05,              8.713e-05,              8.713e-05
                     15,                0.93638,                0.68059,                 1.1313,                0.81898,                0.82754,                0.85151,                0.61418,                  1.074,                0.79789,                 1.2601,              8.614e-05,              8.614e-05,              8.614e-05
                     16,                0.93631,                0.66767,                 1.1389,                0.85142,                0.81014,                0.85092,                0.62484,                 1.0787,                0.79047,                 1.2667,              8.515e-05,              8.515e-05,              8.515e-05
                     17,                0.90714,                0.65178,                 1.1192,                 0.8247,                0.81294,                0.84687,                0.61913,                 1.0799,                 0.8162,                 1.2741,              8.416e-05,              8.416e-05,              8.416e-05
                     18,                0.91164,                0.65083,                 1.1242,                0.85176,                0.81667,                 0.8569,                0.62056,                 1.0895,                0.78509,                 1.2692,              8.317e-05,              8.317e-05,              8.317e-05
                     19,                0.89588,                0.65072,                 1.1258,                0.83179,                0.81354,                0.84429,                0.61646,                 1.0742,                0.80137,                 1.2495,              8.218e-05,              8.218e-05,              8.218e-05
                     20,                0.88986,                0.63343,                 1.1213,                0.81635,                0.83171,                0.84399,                 0.6048,                 1.0594,                0.77415,                 1.2523,              8.119e-05,              8.119e-05,              8.119e-05
                     21,                0.89621,                0.63488,                 1.1258,                0.82987,                 0.8125,                0.84234,                0.62089,                 1.0909,                0.83854,                 1.3102,               8.02e-05,               8.02e-05,               8.02e-05
                     22,                0.89449,                0.63094,                 1.1254,                0.86525,                0.83546,                0.86376,                0.61895,                 1.0938,                 0.8046,                 1.2726,              7.921e-05,              7.921e-05,              7.921e-05
                     23,                0.88619,                0.61606,                 1.1086,                0.84958,                0.81736,                0.85403,                0.62271,                 1.1094,                0.80054,                 1.2789,              7.822e-05,              7.822e-05,              7.822e-05
                     24,                0.86762,                0.58995,                 1.0978,                0.85534,                0.81574,                0.84674,                 0.6288,                 1.0868,                0.87122,                 1.2987,              7.723e-05,              7.723e-05,              7.723e-05
                     25,                0.85914,                0.58658,                 1.0963,                0.85084,                0.83337,                0.84388,                 0.6151,                 1.0778,                0.86813,                 1.2759,              7.624e-05,              7.624e-05,              7.624e-05
                     26,                0.84864,                0.57337,                 1.0981,                 0.8752,                0.81035,                0.85032,                0.61434,                 1.0938,                 0.7809,                 1.2904,              7.525e-05,              7.525e-05,              7.525e-05
                     27,                0.83861,                0.58033,                  1.092,                0.86544,                0.78621,                0.84375,                0.63233,                 1.0459,                0.81953,                 1.2603,              7.426e-05,              7.426e-05,              7.426e-05
                     28,                0.82869,                0.56067,                 1.0831,                0.84352,                0.81142,                0.85275,                0.62514,                 1.0379,                0.81699,                 1.2479,              7.327e-05,              7.327e-05,              7.327e-05
                     29,                0.83542,                0.56673,                 1.0837,                0.83863,                0.81779,                0.85262,                0.62859,                 1.0674,                0.76788,                 1.2577,              7.228e-05,              7.228e-05,              7.228e-05
                     30,                0.81999,                0.55673,                 1.0829,                0.86596,                0.76754,                0.84642,                0.62417,                 1.0585,                0.81678,                 1.2856,              7.129e-05,              7.129e-05,              7.129e-05
