                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2201,                 3.5943,                 2.4142,                0.33371,                   0.01,                0.00022,                  6e-05,                 4.3181,                    inf,                 9.3478,               0.067409,             3.2624e-05,             3.2624e-05
                      1,                 1.9837,                 2.9616,                 2.1773,                0.68395,                0.04443,                0.01123,                0.00351,                 3.2745,                 22.294,                 4.5157,               0.034108,             6.5304e-05,             6.5304e-05
                      2,                 1.8802,                 2.7646,                  2.084,                0.16696,                0.05333,                0.00028,                  8e-05,                 4.0967,                    inf,                  6.301,             0.00080654,             9.7325e-05,             9.7325e-05
                      3,                 1.8181,                 2.6591,                 2.0133,                0.35855,                0.08833,                0.00411,                0.00157,                 2.8524,                    inf,                 3.9625,              9.703e-05,              9.703e-05,              9.703e-05
                      4,                 1.7766,                 2.5332,                  1.959,                 0.3493,                0.21176,                0.01289,                0.00434,                 3.7641,                 39.195,                  7.678,              9.703e-05,              9.703e-05,              9.703e-05
                      5,                 1.7216,                 2.3801,                 1.8878,                0.00358,                 0.1444,                0.00398,                0.00172,                 2.8551,                 8.9251,                 3.5463,              9.604e-05,              9.604e-05,              9.604e-05
                      6,                 1.6709,                 2.2936,                 1.8492,                0.70073,                0.03333,                0.03017,                0.01131,                 2.6242,                  7.559,                 2.7769,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                  1.637,                 2.2298,                 1.8209,                0.51916,                0.05778,                0.01654,                0.00421,                 2.8871,                 8.8327,                 3.7175,              9.406e-05,              9.406e-05,              9.406e-05
                      8,                 1.6178,                 2.1651,                   1.79,                0.61697,                0.11887,                0.10317,                0.03327,                 2.4034,                 4.0591,                 2.7613,              9.307e-05,              9.307e-05,              9.307e-05
                      9,                 1.6049,                 2.1498,                 1.7763,                0.00492,                0.06262,                0.00471,                0.00177,                 2.7995,                 5.8672,                 3.1553,              9.208e-05,              9.208e-05,              9.208e-05
                     10,                 1.6004,                 2.1117,                 1.7807,                0.39741,                0.09185,                0.04226,                0.01784,                 2.3392,                 4.3862,                 2.6443,              9.109e-05,              9.109e-05,              9.109e-05
                     11,                 1.5743,                 2.0494,                 1.7555,                0.29981,                0.18174,                0.16337,                0.07941,                 2.1166,                 3.0292,                 2.4769,               9.01e-05,               9.01e-05,               9.01e-05
                     12,                 1.5458,                 2.0172,                 1.7337,                0.05806,                0.24379,                0.07021,                0.02881,                  2.337,                 5.0314,                 2.5238,              8.911e-05,              8.911e-05,              8.911e-05
                     13,                 1.5398,                 1.9589,                 1.7166,                0.21704,                0.23802,                 0.1093,                0.04405,                 2.2089,                 7.0325,                 2.8121,              8.812e-05,              8.812e-05,              8.812e-05
                     14,                 1.5431,                 1.9235,                 1.7135,                 0.1488,                0.23325,                0.09099,                0.03979,                 2.0795,                 13.114,                 2.3378,              8.713e-05,              8.713e-05,              8.713e-05
                     15,                 1.5291,                 1.9372,                 1.7054,                0.07406,                0.30102,                0.11554,                0.06026,                 2.0081,                 4.5414,                 2.2132,              8.614e-05,              8.614e-05,              8.614e-05
                     16,                 1.5344,                 1.9176,                 1.7144,                0.67983,                0.09716,                0.11251,                0.02164,                 2.4711,                 4.3176,                 2.7248,              8.515e-05,              8.515e-05,              8.515e-05
                     17,                 1.4869,                 1.8755,                 1.6885,                0.23449,                0.17811,                0.10284,                0.04962,                 2.1238,                 5.5178,                 2.4769,              8.416e-05,              8.416e-05,              8.416e-05
                     18,                 1.4945,                 1.8412,                  1.698,                0.84208,                0.03091,                0.01309,                0.00328,                  3.082,                 6.1177,                 3.3041,              8.317e-05,              8.317e-05,              8.317e-05
                     19,                 1.4753,                 1.8524,                 1.6883,                0.25135,                0.14028,                0.06801,                0.02918,                 2.6661,                 4.3599,                 2.7337,              8.218e-05,              8.218e-05,              8.218e-05
                     20,                 1.4697,                 1.8102,                 1.6796,                0.28581,                0.12574,                0.13283,                0.06334,                 2.1621,                 3.7185,                 2.4826,              8.119e-05,              8.119e-05,              8.119e-05
                     21,                  1.468,                 1.7964,                 1.6755,                0.10284,                0.04163,                0.05789,                0.03231,                 3.4482,                 5.4196,                  3.929,               8.02e-05,               8.02e-05,               8.02e-05
                     22,                 1.4687,                 1.7802,                  1.683,                0.10954,                0.19022,                0.12355,                0.07301,                 2.0113,                 5.3832,                 2.3136,              7.921e-05,              7.921e-05,              7.921e-05
                     23,                  1.459,                 1.7547,                 1.6573,                0.19765,                 0.4394,                0.22108,                0.10643,                 2.3077,                 4.1488,                 2.4267,              7.822e-05,              7.822e-05,              7.822e-05
                     24,                 1.4459,                 1.7093,                 1.6507,                0.23934,                0.13921,                0.10585,                0.05031,                    2.4,                 4.1764,                 2.5824,              7.723e-05,              7.723e-05,              7.723e-05
                     25,                 1.4385,                 1.6789,                 1.6476,                0.04093,                0.16708,                0.03393,                0.01164,                 2.6898,                 5.4423,                 3.0307,              7.624e-05,              7.624e-05,              7.624e-05
                     26,                 1.4293,                 1.6662,                 1.6372,                0.35868,                0.26371,                0.22922,                0.10637,                 2.0118,                 2.6796,                 2.2315,              7.525e-05,              7.525e-05,              7.525e-05
                     27,                 1.4134,                  1.659,                 1.6327,                0.08372,                0.12551,                0.07056,                0.03413,                 2.4543,                 5.5847,                 2.5879,              7.426e-05,              7.426e-05,              7.426e-05
                     28,                 1.4128,                 1.6273,                 1.6168,                0.30359,                0.17428,                0.15089,                0.05773,                 2.5955,                 3.3394,                 2.9903,              7.327e-05,              7.327e-05,              7.327e-05
                     29,                 1.4181,                  1.625,                 1.6103,                0.05192,                0.29082,                0.09079,                0.03258,                 2.7055,                 6.1101,                 2.7275,              7.228e-05,              7.228e-05,              7.228e-05
                     30,                 1.3932,                 1.6049,                 1.6122,                0.41076,                0.16811,                0.18868,                0.09375,                 2.1841,                 3.7904,                 2.2618,              7.129e-05,              7.129e-05,              7.129e-05
                     31,                 1.3921,                 1.5945,                 1.6187,                 0.0378,                0.20901,                0.04441,                0.01948,                 2.3531,                 4.7914,                   2.67,               7.03e-05,               7.03e-05,               7.03e-05
                     32,                 1.3912,                 1.5666,                 1.6044,                 0.3131,                0.22356,                0.20656,                0.10522,                 1.7984,                 2.7197,                 2.0461,              6.931e-05,              6.931e-05,              6.931e-05
                     33,                 1.4008,                 1.5739,                 1.6096,                0.35525,                0.24833,                0.23603,                0.12394,                  2.002,                 3.1518,                 2.2824,              6.832e-05,              6.832e-05,              6.832e-05
                     34,                 1.3672,                 1.5412,                 1.6021,                0.48893,                0.15851,                0.20618,                0.08214,                 2.0279,                 3.7422,                  2.346,              6.733e-05,              6.733e-05,              6.733e-05
                     35,                 1.3987,                 1.5684,                 1.6084,                0.14054,                0.05274,                0.04629,                0.01989,                 2.4651,                 4.5677,                 2.7003,              6.634e-05,              6.634e-05,              6.634e-05
                     36,                 1.3963,                  1.555,                 1.6132,                0.33684,                0.06264,                0.15618,                0.08589,                 2.5946,                 4.7262,                 3.0054,              6.535e-05,              6.535e-05,              6.535e-05
                     37,                 1.3578,                 1.4892,                 1.5683,                0.32104,                0.17585,                0.21196,                0.10831,                  2.297,                 5.4401,                  2.806,              6.436e-05,              6.436e-05,              6.436e-05
                     38,                 1.3575,                 1.4762,                 1.5712,                0.38751,                0.15488,                0.11105,                0.05702,                 2.1533,                 3.8696,                 2.3411,              6.337e-05,              6.337e-05,              6.337e-05
                     39,                 1.3455,                 1.5221,                 1.5865,                0.48879,                0.35738,                0.35215,                 0.1769,                 1.7766,                 2.8062,                 2.0906,              6.238e-05,              6.238e-05,              6.238e-05
                     40,                 1.3287,                 1.4563,                 1.5581,                0.53066,                0.23801,                0.28108,                0.14214,                 2.2324,                   3.24,                 2.4067,              6.139e-05,              6.139e-05,              6.139e-05
                     41,                 1.3568,                  1.491,                 1.5841,                0.32227,                 0.3127,                 0.2457,                0.13066,                 1.9384,                  2.685,                 2.1132,               6.04e-05,               6.04e-05,               6.04e-05
                     42,                 1.3476,                 1.4506,                 1.5642,                 0.0908,                0.18189,                0.07453,                0.04619,                 2.6205,                 5.2301,                 2.8618,              5.941e-05,              5.941e-05,              5.941e-05
                     43,                 1.3272,                 1.4214,                 1.5573,                0.33253,                0.14547,                0.23929,                0.12367,                 2.0669,                 5.6397,                 2.3916,              5.842e-05,              5.842e-05,              5.842e-05
                     44,                 1.3336,                 1.4424,                 1.5618,                0.33179,                0.14051,                0.13634,                0.05964,                 2.6548,                 3.9661,                 2.7865,              5.743e-05,              5.743e-05,              5.743e-05
                     45,                 1.3197,                 1.4068,                 1.5529,                0.35006,                0.29903,                0.25367,                0.12698,                 2.1018,                 2.6307,                  2.478,              5.644e-05,              5.644e-05,              5.644e-05
                     46,                 1.3269,                 1.4242,                 1.5694,                0.33546,                0.31562,                0.25238,                0.13339,                 1.8231,                 2.8457,                 2.0964,              5.545e-05,              5.545e-05,              5.545e-05
                     47,                 1.3063,                 1.3753,                  1.535,                  0.395,                0.28446,                0.22383,                0.11111,                 2.0309,                 3.0632,                  2.241,              5.446e-05,              5.446e-05,              5.446e-05
                     48,                 1.3104,                  1.365,                  1.538,                 0.3591,                0.13424,                0.13353,                0.07799,                 2.1988,                 4.2224,                  2.288,              5.347e-05,              5.347e-05,              5.347e-05
                     49,                 1.3005,                 1.3668,                  1.535,                0.28651,                 0.2791,                0.13111,                0.05543,                  2.096,                  5.407,                 2.2466,              5.248e-05,              5.248e-05,              5.248e-05
                     50,                 1.2961,                  1.337,                 1.5247,                0.34494,                0.28172,                0.25224,                0.12362,                 2.1471,                 3.3853,                 2.5158,              5.149e-05,              5.149e-05,              5.149e-05
                     51,                  1.311,                 1.3867,                 1.5376,                 0.3281,                0.28742,                0.23836,                0.10193,                 2.2596,                 3.1838,                 2.5216,               5.05e-05,               5.05e-05,               5.05e-05
                     52,                 1.2819,                 1.3621,                 1.5314,                0.45909,                0.30192,                0.28186,                0.11719,                 2.0619,                 3.0054,                 2.2342,              4.951e-05,              4.951e-05,              4.951e-05
                     53,                 1.2812,                 1.3444,                 1.5264,                0.45944,                0.39818,                0.38894,                0.20399,                 1.6604,                 2.3123,                 1.9878,              4.852e-05,              4.852e-05,              4.852e-05
                     54,                 1.2906,                 1.3404,                 1.5215,                0.31478,                0.26826,                0.21023,                0.10703,                 1.9036,                 2.9102,                 2.1538,              4.753e-05,              4.753e-05,              4.753e-05
                     55,                 1.2826,                 1.3307,                 1.5238,                0.48063,                0.32757,                0.38112,                0.19693,                 1.8818,                 2.8335,                 2.0934,              4.654e-05,              4.654e-05,              4.654e-05
                     56,                  1.295,                 1.3122,                 1.5101,                0.48927,                0.23386,                0.26824,                0.13682,                 1.9498,                 2.9987,                  2.316,              4.555e-05,              4.555e-05,              4.555e-05
                     57,                 1.2688,                 1.2909,                 1.4967,                0.44773,                0.30679,                0.28687,                0.15282,                 1.8669,                 2.8315,                 2.1671,              4.456e-05,              4.456e-05,              4.456e-05
                     58,                  1.263,                 1.2989,                 1.5077,                0.25623,                0.26873,                0.17725,                0.08677,                 1.8205,                 2.8793,                 2.0939,              4.357e-05,              4.357e-05,              4.357e-05
                     59,                 1.2661,                 1.2702,                 1.4956,                0.54264,                0.35271,                0.38878,                 0.2178,                 1.6007,                 2.3621,                 1.9316,              4.258e-05,              4.258e-05,              4.258e-05
                     60,                 1.2537,                   1.27,                 1.4907,                0.32002,                0.36459,                0.26247,                0.13221,                 2.1439,                 2.4591,                  2.451,              4.159e-05,              4.159e-05,              4.159e-05
                     61,                 1.2517,                 1.2731,                 1.4933,                0.59688,                0.25734,                0.31084,                0.17339,                 2.3067,                 3.3818,                 2.6376,               4.06e-05,               4.06e-05,               4.06e-05
                     62,                 1.2507,                 1.2446,                 1.4873,                0.42215,                0.18042,                0.17894,                0.08784,                 2.0293,                 3.5893,                 2.3363,              3.961e-05,              3.961e-05,              3.961e-05
                     63,                 1.2358,                 1.2582,                 1.4917,                0.57687,                0.40014,                0.43297,                0.23582,                 1.7461,                 2.2752,                 1.9936,              3.862e-05,              3.862e-05,              3.862e-05
