                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1687,                 3.5396,                 2.3214,                0.00708,                 0.0283,                0.00418,                0.00092,                 3.2521,                 34.538,                  4.529,               0.067054,             3.2979e-05,             3.2979e-05
                      1,                 1.9018,                 2.9341,                 2.0665,                0.03341,                0.28898,                0.02974,                0.00765,                 2.9884,                 13.545,                 3.7744,               0.033754,             6.5656e-05,             6.5656e-05
                      2,                 1.7981,                 2.6726,                  1.951,                0.63413,                0.08944,                0.09729,                0.03374,                 2.4739,                  9.436,                 2.8952,             0.00045228,             9.7672e-05,             9.7672e-05
                      3,                 1.7245,                 2.5274,                 1.8775,                0.17727,                0.07028,                0.00263,                0.00107,                  3.278,                    inf,                 3.7553,              9.703e-05,              9.703e-05,              9.703e-05
                      4,                 1.6867,                 2.3574,                 1.8188,                0.03885,                0.16514,                0.03004,                0.01223,                 2.4265,                 5.6503,                 2.6773,              9.703e-05,              9.703e-05,              9.703e-05
                      5,                 1.6042,                 2.2448,                 1.7631,                0.52038,                0.11191,                 0.0857,                0.04299,                 2.1332,                 4.2094,                 2.2054,              9.604e-05,              9.604e-05,              9.604e-05
                      6,                 1.5536,                  2.161,                 1.7294,                0.35916,                0.24234,                 0.1527,                0.06093,                 2.3735,                 7.2804,                 2.7258,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 1.5619,                  2.079,                 1.7134,                0.21308,                0.21584,                0.14593,                0.06498,                 2.0608,                 3.9859,                 2.3321,              9.406e-05,              9.406e-05,              9.406e-05
                      8,                  1.535,                 2.0277,                 1.6971,                0.55582,                0.20838,                0.13425,                0.05812,                 2.2548,                 6.7053,                 2.4548,              9.307e-05,              9.307e-05,              9.307e-05
                      9,                 1.4968,                 1.9743,                 1.6909,                0.80978,                0.07414,                0.09567,                0.04326,                 2.6094,                 4.4777,                 2.8008,              9.208e-05,              9.208e-05,              9.208e-05
                     10,                 1.4862,                 1.9312,                 1.6617,                0.26695,                 0.2951,                0.23446,                0.09715,                 2.2275,                 3.5662,                 2.3887,              9.109e-05,              9.109e-05,              9.109e-05
                     11,                 1.4698,                 1.8735,                 1.6583,                0.25373,                0.14114,                 0.1349,                0.06388,                  2.411,                 3.8019,                   2.48,               9.01e-05,               9.01e-05,               9.01e-05
                     12,                 1.4513,                 1.8248,                 1.6441,                0.46381,                 0.2563,                0.28072,                0.14653,                 1.7441,                  3.302,                 1.8833,              8.911e-05,              8.911e-05,              8.911e-05
                     13,                 1.4481,                 1.8028,                 1.6435,                0.28787,                 0.2947,                0.22991,                0.10652,                 2.0369,                 2.8494,                 2.0615,              8.812e-05,              8.812e-05,              8.812e-05
                     14,                 1.4349,                 1.7526,                 1.6225,                0.42408,                0.25275,                0.23794,                0.12517,                 2.1538,                 3.1908,                 2.3473,              8.713e-05,              8.713e-05,              8.713e-05
                     15,                 1.4052,                 1.7474,                 1.6105,                0.39378,                0.26749,                0.24203,                0.10072,                 2.0829,                 2.9219,                 2.2238,              8.614e-05,              8.614e-05,              8.614e-05
                     16,                 1.4085,                 1.7358,                 1.6152,                0.56521,                0.27803,                0.30837,                0.16047,                 1.8012,                  2.755,                  1.803,              8.515e-05,              8.515e-05,              8.515e-05
