                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3679,                 2.3131,                 1.4349,                0.59228,                0.52914,                0.54437,                0.31173,                 1.3744,                 2.6204,                 1.4727,               0.067702,             0.00032624,             0.00032624
                      1,                 1.3057,                 1.3343,                 1.4019,                0.56287,                0.57087,                0.54694,                 0.3261,                 1.4225,                 1.7052,                 1.4525,               0.034696,             0.00065304,             0.00065304
                      2,                 1.3438,                 1.3948,                 1.4242,                0.31633,                0.38202,                0.27436,                0.14731,                 1.6953,                 2.8097,                  1.819,              0.0016825,             0.00097325,             0.00097325
                      3,                 1.3484,                 1.4131,                 1.4412,                0.54343,                0.40293,                0.40731,                0.24013,                 1.6034,                 2.3863,                 1.6448,              0.0009703,              0.0009703,              0.0009703
                      4,                  1.318,                 1.3585,                  1.412,                0.52556,                0.48785,                0.46983,                0.25328,                 1.5192,                 2.1053,                 1.5229,              0.0009703,              0.0009703,              0.0009703
                      5,                  1.293,                 1.2902,                 1.3899,                0.55041,                0.50251,                0.50891,                0.31174,                 1.4676,                 1.8649,                 1.5295,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.2521,                 1.2198,                 1.3727,                0.62885,                0.64375,                0.64376,                0.40409,                 1.3845,                 1.4529,                 1.4179,              0.0009505,              0.0009505,              0.0009505
                      7,                  1.241,                 1.1669,                 1.3637,                0.69424,                0.66785,                0.71145,                0.43393,                 1.3225,                 1.3955,                 1.3916,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.2274,                 1.1304,                 1.3509,                0.67281,                0.69973,                0.69054,                0.38814,                 1.5048,                 1.3137,                 1.5145,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.1854,                  1.076,                 1.3307,                0.72995,                0.65434,                0.70336,                0.44758,                  1.301,                 1.2954,                 1.3461,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.1668,                 1.0541,                 1.3127,                0.72726,                0.67475,                0.72698,                 0.4723,                 1.2925,                 1.2754,                 1.3481,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.1575,                 1.0319,                 1.3039,                0.74478,                0.69575,                0.74178,                0.50011,                 1.3047,                 1.1942,                  1.374,               0.000901,               0.000901,               0.000901
                     12,                  1.139,                 1.0196,                 1.3046,                0.73398,                0.69744,                0.73562,                0.47936,                 1.2803,                 1.1669,                 1.3517,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.1204,                0.97764,                 1.2865,                0.76744,                0.71949,                0.77925,                0.53356,                 1.2263,                 1.0724,                 1.2831,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.1165,                0.95712,                 1.2825,                0.72155,                0.68311,                0.72337,                 0.4647,                 1.2792,                 1.1944,                 1.3404,              0.0008713,              0.0008713,              0.0008713
                     15,                  1.103,                0.94361,                 1.2715,                0.76287,                0.72802,                0.76251,                0.51679,                 1.2101,                 1.0982,                 1.2833,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.0947,                0.92016,                 1.2686,                0.79646,                0.70738,                0.75472,                0.50232,                 1.2464,                 1.1056,                 1.3211,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.0852,                0.92321,                 1.2664,                0.82138,                0.65614,                0.77082,                0.50129,                 1.2573,                 1.1125,                 1.3033,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.0662,                0.89117,                 1.2485,                0.77469,                0.70719,                0.74565,                 0.5023,                 1.2071,                 1.1323,                 1.3223,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.0539,                0.87633,                 1.2479,                0.78229,                0.71102,                0.77186,                0.53341,                 1.1965,                  1.072,                 1.2758,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.0398,                0.86353,                 1.2358,                0.76596,                0.74001,                0.76865,                0.52173,                 1.2046,                 1.0054,                 1.3018,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.0335,                0.85078,                 1.2338,                 0.7795,                0.73861,                0.76079,                0.50995,                 1.2349,                 1.0602,                 1.3205,               0.000802,               0.000802,               0.000802
                     22,                 1.0354,                0.84947,                 1.2291,                0.80816,                0.71477,                0.78325,                0.53047,                 1.1992,                 1.0316,                 1.2996,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.0257,                0.83364,                 1.2311,                0.76524,                0.71777,                0.76488,                0.51789,                 1.2592,                  1.059,                 1.3094,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.0022,                0.79642,                 1.2109,                0.77686,                 0.7266,                0.76746,                0.51678,                 1.2481,                 1.0123,                  1.311,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.0006,                0.80163,                 1.2057,                0.80825,                0.72486,                0.77426,                0.49481,                 1.3183,                 1.0393,                 1.3823,              0.0007624,              0.0007624,              0.0007624
                     26,                0.98131,                  0.779,                 1.2041,                0.79978,                0.75394,                0.80216,                0.52765,                 1.2335,                 0.9931,                  1.318,              0.0007525,              0.0007525,              0.0007525
                     27,                0.98838,                0.78624,                 1.2086,                0.74634,                0.76075,                0.78027,                0.55741,                 1.1658,                 1.0579,                 1.2815,              0.0007426,              0.0007426,              0.0007426
                     28,                0.96617,                0.75843,                 1.1926,                0.75745,                0.72891,                0.77255,                0.52805,                 1.2025,                 1.0569,                 1.3122,              0.0007327,              0.0007327,              0.0007327
                     29,                0.96578,                0.76847,                 1.1971,                0.78779,                0.71121,                0.75068,                0.49652,                 1.2395,                 1.0513,                 1.3445,              0.0007228,              0.0007228,              0.0007228
                     30,                 0.9543,                0.73441,                 1.1844,                0.76675,                0.75822,                0.77518,                0.53091,                 1.2062,                 1.0853,                 1.3377,              0.0007129,              0.0007129,              0.0007129
                     31,                0.94047,                 0.7313,                 1.1809,                0.77729,                0.72044,                0.78412,                0.53068,                 1.2246,                 1.0144,                 1.3255,               0.000703,               0.000703,               0.000703
                     32,                0.92625,                0.72928,                 1.1711,                0.79087,                0.71132,                0.78352,                 0.5409,                 1.2421,                 1.0756,                 1.3485,              0.0006931,              0.0006931,              0.0006931
