                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3483,                 2.4449,                   1.42,                0.46523,                0.42552,                0.40816,                0.23774,                  1.397,                 2.4917,                 1.4295,               0.067409,             3.2624e-05,             3.2624e-05
                      1,                   1.21,                  1.167,                 1.3002,                 0.7462,                0.72641,                0.76899,                0.50432,                 1.1549,                 1.0681,                 1.2017,               0.034108,             6.5304e-05,             6.5304e-05
                      2,                 1.1518,                0.99152,                 1.2517,                0.79336,                 0.7654,                0.80299,                0.56384,                 1.1038,                0.99984,                 1.1421,             0.00080654,             9.7325e-05,             9.7325e-05
                      3,                 1.0901,                0.88896,                 1.2123,                0.83565,                0.80399,                0.84936,                0.59309,                 1.1288,                0.90432,                 1.1658,              9.703e-05,              9.703e-05,              9.703e-05
                      4,                 1.0512,                0.83718,                 1.1915,                0.82085,                0.82713,                 0.8473,                0.57952,                 1.1169,                0.84986,                 1.1743,              9.703e-05,              9.703e-05,              9.703e-05
                      5,                 1.0193,                0.80598,                 1.1829,                0.83243,                0.80122,                0.83289,                0.57646,                 1.1169,                0.88462,                  1.173,              9.604e-05,              9.604e-05,              9.604e-05
                      6,                 0.9848,                0.77208,                 1.1635,                0.80932,                0.82448,                0.82931,                0.57951,                 1.1459,                0.89906,                 1.1936,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 0.9757,                0.73157,                   1.16,                0.85479,                0.80114,                0.85111,                0.61347,                 1.0847,                0.82147,                 1.1504,              9.406e-05,              9.406e-05,              9.406e-05
                      8,                0.94726,                0.70871,                 1.1387,                0.85279,                0.79108,                0.83733,                0.60064,                 1.0982,                0.85755,                 1.1648,              9.307e-05,              9.307e-05,              9.307e-05
                      9,                0.93339,                0.68637,                 1.1389,                0.83364,                0.80497,                0.84698,                0.61239,                 1.0807,                0.86268,                 1.1644,              9.208e-05,              9.208e-05,              9.208e-05
                     10,                0.91756,                 0.6776,                 1.1264,                0.84785,                0.83389,                0.86755,                0.61943,                 1.1033,                0.77143,                 1.1788,              9.109e-05,              9.109e-05,              9.109e-05
                     11,                0.89377,                0.65079,                 1.1153,                0.88045,                0.80708,                0.86317,                0.63166,                 1.0916,                0.78257,                 1.1648,               9.01e-05,               9.01e-05,               9.01e-05
