                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4376,                  1.905,                 1.5884,                0.40938,                0.33729,                0.33133,                0.17584,                 1.7058,                  2.997,                 2.1332,               0.067176,             0.00033155,             0.00033155
                      1,                 1.5226,                 1.8847,                 1.6798,                0.51976,                 0.4771,                0.43624,                0.21854,                  1.719,                 2.1808,                 2.0477,               0.034173,             0.00066159,             0.00066159
                      2,                 1.5469,                 1.9477,                 1.7109,                0.46676,                0.44143,                0.43863,                0.23729,                 1.5607,                 2.3773,                 1.9025,              0.0011666,             0.00098834,             0.00098834
                      3,                 1.5103,                 1.8858,                 1.6944,                0.36265,                0.53058,                0.38533,                0.21455,                 1.5344,                 2.3115,                 1.8855,             0.00098515,             0.00098515,             0.00098515
                      4,                 1.4711,                 1.7532,                  1.661,                0.62368,                0.50901,                0.56265,                0.32643,                  1.503,                 1.8444,                 1.8082,             0.00098515,             0.00098515,             0.00098515
                      5,                 1.4275,                 1.6486,                  1.626,                0.66895,                0.61215,                0.64981,                0.36351,                 1.4473,                 1.5986,                 1.7501,              0.0009802,              0.0009802,              0.0009802
                      6,                 1.4137,                 1.5831,                 1.5952,                0.70903,                0.62447,                0.68201,                0.41011,                 1.3638,                 1.4555,                 1.6861,             0.00097525,             0.00097525,             0.00097525
                      7,                 1.3748,                 1.5108,                 1.5862,                0.64854,                0.58591,                0.64974,                0.37855,                 1.3846,                 1.6457,                 1.7163,              0.0009703,              0.0009703,              0.0009703
                      8,                 1.3477,                 1.4466,                 1.5631,                0.77513,                0.62162,                0.69729,                0.40282,                 1.4233,                 1.4566,                 1.7347,             0.00096535,             0.00096535,             0.00096535
                      9,                 1.3382,                  1.414,                 1.5577,                0.67892,                  0.667,                0.68965,                0.40398,                 1.4077,                 1.3539,                 1.7286,              0.0009604,              0.0009604,              0.0009604
                     10,                 1.3243,                 1.3757,                  1.537,                0.66245,                0.66818,                0.68647,                0.44202,                 1.2398,                 1.3374,                 1.5982,             0.00095545,             0.00095545,             0.00095545
                     11,                 1.2977,                  1.327,                 1.5238,                0.72809,                 0.7129,                0.75589,                0.48927,                 1.2639,                 1.1546,                 1.5965,              0.0009505,              0.0009505,              0.0009505
                     12,                 1.2841,                 1.2736,                 1.5087,                0.76949,                0.70343,                0.72899,                0.47922,                 1.2126,                  1.197,                 1.5653,             0.00094555,             0.00094555,             0.00094555
                     13,                 1.2597,                 1.2424,                 1.4857,                0.75809,                0.70095,                0.74309,                0.48163,                 1.2456,                 1.1949,                 1.5857,              0.0009406,              0.0009406,              0.0009406
                     14,                 1.2512,                 1.2175,                  1.488,                0.76829,                 0.7318,                0.77013,                0.48938,                 1.2685,                 1.1404,                 1.6063,             0.00093565,             0.00093565,             0.00093565
                     15,                 1.2297,                 1.2059,                 1.4725,                0.73068,                0.71568,                0.75774,                 0.5045,                 1.1825,                 1.1911,                 1.5459,              0.0009307,              0.0009307,              0.0009307
                     16,                  1.226,                 1.1999,                  1.465,                0.77285,                0.73377,                0.78473,                0.51524,                 1.1907,                 1.1378,                 1.5296,             0.00092575,             0.00092575,             0.00092575
                     17,                  1.202,                 1.1599,                 1.4431,                0.78035,                0.70253,                0.77362,                0.51763,                 1.2128,                 1.0922,                  1.553,              0.0009208,              0.0009208,              0.0009208
                     18,                 1.2074,                 1.1548,                 1.4612,                0.78355,                0.68489,                0.76418,                0.51051,                 1.2117,                 1.0552,                 1.5516,             0.00091585,             0.00091585,             0.00091585
                     19,                 1.2022,                 1.1405,                   1.45,                 0.7312,                0.75091,                 0.7745,                0.52245,                 1.1782,                  1.084,                 1.5078,              0.0009109,              0.0009109,              0.0009109
                     20,                 1.1707,                 1.0763,                 1.4238,                0.77791,                0.76456,                0.79587,                0.54079,                 1.1243,                 1.0247,                 1.4819,             0.00090595,             0.00090595,             0.00090595
                     21,                 1.1851,                  1.109,                 1.4298,                0.77295,                0.76397,                0.79482,                0.54916,                  1.139,                0.98625,                   1.48,               0.000901,               0.000901,               0.000901
                     22,                 1.1635,                 1.0745,                 1.4186,                0.78822,                0.74127,                0.78467,                0.49176,                 1.2799,                0.98106,                 1.5954,             0.00089605,             0.00089605,             0.00089605
                     23,                 1.1525,                 1.0432,                 1.4132,                0.81886,                0.73298,                0.79384,                0.53629,                 1.1436,                 1.0237,                 1.4791,              0.0008911,              0.0008911,              0.0008911
                     24,                 1.1598,                 1.0405,                 1.4016,                0.79759,                0.73963,                0.79842,                 0.5434,                  1.178,                 1.0544,                 1.5344,             0.00088615,             0.00088615,             0.00088615
                     25,                 1.1084,                0.99022,                 1.3823,                0.80167,                0.73464,                0.78654,                0.53638,                  1.175,                 1.0368,                 1.5175,              0.0008812,              0.0008812,              0.0008812
                     26,                 1.1185,                 1.0068,                 1.3836,                0.83063,                0.74133,                0.79324,                 0.5352,                 1.1858,                 1.0241,                 1.5095,             0.00087625,             0.00087625,             0.00087625
